"ResponseID","ResponseSet","Name","ExternalDataReference","EmailAddress","IPAddress","Status","StartDate","EndDate","Finished","room","subj_id","version","Room..to.be.filled.in.by.experimenter.","Subj.id..to.be.filled.in.by.experimenter.","strategy","masks","Visual.imagery.refers.to.the.ability.to.visualize..that.is..the....ability.to.form.mental.pictures..or.to..see.in.the.minds.eye......Marked.individual.differences.have.been.found.in.the.strength.and....c...","relative..1.","relative..2.","relative..3.","relative..4.","rising..1.","rising..2.","rising..3.","rising..4.","shop..1.","shop..2.","shop..3.","shop..4.","country..1.","country..2.","country..3.","country..4.","Last.page.","age","gender","native","other_lang","LocationLatitude","LocationLongitude","LocationAccuracy","X"
"R_2zdvDRbwRsNZ971","Default Response Set","Anonymous",NA,NA,"128.104.131.183",0,"2015-11-09 11:29:22","2015-11-09 11:31:25",1,"LL-Jerry","ODM304","modality",NA,"","","",1,1,2,2,1,3,2,2,1,4,3,4,2,1,1,1,2,1,19,2,2,"chinese",43.076095581055,-89.410400390625,-1,NA
"R_3kH3XLL9IVMcqM1","Default Response Set","Anonymous",NA,NA,"128.104.131.70",0,"2015-11-09 11:29:40","2015-11-09 11:32:05",1,"LL-George","ODM302","modality",NA,"","","",1,2,2,3,2,1,1,2,1,2,1,1,2,2,3,2,2,1,18,1,1,"",43.076095581055,-89.410400390625,-1,NA
"R_31aNcifnLRCV4vT","Default Response Set","Anonymous",NA,NA,"128.104.131.186",0,"2015-11-09 11:30:05","2015-11-09 11:33:30",1,"LL-Kramer","ODM301","modality",NA,"","","",1,2,2,2,2,2,2,2,2,3,2,2,3,2,2,2,2,1,19,2,1,"",43.076095581055,-89.410400390625,-1,NA
"R_1CqfiQnqm5R8YHy","Default Response Set","Anonymous",NA,NA,"128.104.131.0",0,"2015-11-09 11:29:53","2015-11-09 11:34:08",1,"LL-ELAINE","ODM303","modality",NA,"","","",1,3,2,2,2,2,2,2,2,1,3,2,1,2,2,2,3,1,19,2,1,"",43.076095581055,-89.410400390625,-1,NA
"R_8hNNvkKy44otvUJ","Default Response Set","Anonymous",NA,NA,"128.104.131.70",0,"2015-11-09 12:10:03","2015-11-09 12:14:47",1,"LL-George","ODM306","modality",NA,"","","",1,2,3,2,3,2,1,1,1,2,3,2,1,2,1,2,1,1,19,1,1,"none",43.076095581055,-89.410400390625,-1,NA
"R_2tohifkzjP8KRBK","Default Response Set","Anonymous",NA,NA,"128.104.131.0",0,"2015-11-09 12:10:03","2015-11-09 12:15:40",1,"LL-ELAINE","ODM307","modality",NA,"","","",1,1,1,3,1,1,2,2,3,1,3,3,3,3,3,2,3,1,19,2,1,"",43.076095581055,-89.410400390625,-1,NA
"R_3qHCCAiSdXj1LW8","Default Response Set","Anonymous",NA,NA,"128.104.131.186",0,"2015-11-09 12:10:32","2015-11-09 12:15:42",1,"LL-Kramer","ODM305","modality",NA,"","","",1,2,2,3,2,3,2,4,3,2,3,2,2,2,3,2,3,1,19,2,1,"none",43.076095581055,-89.410400390625,-1,NA
"R_BPwx82X7FlSUkdr","Default Response Set","Anonymous",NA,NA,"128.104.131.183",0,"2015-11-09 12:14:21","2015-11-09 12:17:10",1,"LL-Jerry","ODM308","modality",NA,"","","",1,2,2,3,3,1,1,2,2,2,2,2,1,1,1,1,1,1,18,2,1,"",43.076095581055,-89.410400390625,-1,NA
"R_1NzCw1YMDaE79RK","Default Response Set","Anonymous",NA,NA,"128.104.131.186",0,"2015-11-09 15:09:38","2015-11-09 15:12:46",1,"LL-Kramer","ODM309","modality",NA,"","At one point, I decided to focus on one box and to see if that picture was upside down or not. It was difficult to focus on the two pictures at the same time.","i tried not to look at them because it distracted me from concentrating on the picture following it. ",1,2,1,3,2,3,1,3,4,2,1,1,1,2,2,2,3,1,18,2,1,"none",43.076095581055,-89.410400390625,-1,NA
"R_1Q5aHDbZ0JbKeCy","Default Response Set","Anonymous",NA,NA,"128.104.131.70",0,"2015-11-09 15:11:47","2015-11-09 15:15:20",1,"LL-George","ODM310","modality",NA,"","to focus on one side.  if that side was flipped it was obviously not the correct picture","they were distracting",1,2,1,4,3,2,1,1,2,3,3,4,3,2,3,1,1,1,18,2,1,"",43.076095581055,-89.410400390625,-1,NA
"R_DeGRCpbGGEh1PRD","Default Response Set","Anonymous",NA,NA,"128.104.131.183",0,"2015-11-09 15:17:15","2015-11-09 15:19:28",1,"LL-Jerry","ODM312","modality",NA,"","Focus only on one block and make my decision based on that blocks image. ","Not extensively. ",1,2,3,3,2,2,2,2,2,2,2,2,3,2,3,2,2,1,18,2,1,"",43.076095581055,-89.410400390625,-1,NA
"R_3e9XgtcpL56rKW4","Default Response Set","Anonymous",NA,NA,"128.104.131.0",0,"2015-11-09 15:17:08","2015-11-09 15:26:07",1,"LL-ELAINE","ODM311","modality",NA,"","didn't have one; I just looked at the pictures and clicked the j or f key","didn't particularly look at them; just watched as they briefly showed up onscreen",1,3,5,1,1,3,4,5,4,3,4,4,2,2,4,2,1,1,18,2,1,"",43.076095581055,-89.410400390625,-1,NA
"R_3oT8l5BV7Jg3d9D","Default Response Set","Anonymous",NA,NA,"128.104.131.0",0,"2015-11-09 16:14:33","2015-11-09 16:17:24",1,"LL-ELAINE","ODM315","modality",NA,"","stare at the plus mark at the center of the screen","not so much",1,2,2,2,3,3,2,3,2,3,3,2,3,3,3,2,3,1,20,2,2,"Chinese",43.076095581055,-89.410400390625,-1,NA
"R_29nepU6xGnjz0Q8","Default Response Set","Anonymous",NA,NA,"128.104.131.70",0,"2015-11-09 16:14:46","2015-11-09 16:18:53",1,"LL-George","ODM314","modality",NA,"","Stare at the center cross and ignore the audio distractions.","seldom ",1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,18,1,1,"",43.076095581055,-89.410400390625,-1,NA
"R_21pUjkwOJQAZ7Mc","Default Response Set","Anonymous",NA,NA,"128.104.131.186",0,"2015-11-09 16:14:56","2015-11-09 16:18:54",1,"LL-Kramer","ODM313","modality",NA,"","only looked at the left screen","little to none",1,1,2,3,2,1,2,1,3,1,1,3,2,1,1,1,1,1,19,1,1,"",43.076095581055,-89.410400390625,-1,NA
"R_A6BZKhI2KanYjOp","Default Response Set","Anonymous",NA,NA,"128.104.131.183",0,"2015-11-09 16:24:50","2015-11-09 16:28:37",1,"LL-Jerry","ODM316","modality",NA,"","I would look at one picture and determine if it looked properly rotated. If not, then I knew the other one must be and, without looking at the other picture, chose the other picture.","I tried not to focus on the flashing colored patterns but rather prepare myself for the upcoming picture.",1,2,3,2,2,2,2,2,3,3,3,2,3,2,2,2,2,1,19,1,1,"",43.076095581055,-89.410400390625,-1,NA
"R_3J7TBFaWrPev0IG","Default Response Set","Anonymous",NA,NA,"128.104.131.70",0,"2015-11-10 13:00:57","2015-11-10 13:03:01",1,"LL-George","ODM318","modality",NA,"","Look at one image and determine if it was oriented upside-down.","All the time",1,3,2,3,4,3,3,2,3,4,4,3,4,3,2,2,4,1,18,1,1,"",43.076095581055,-89.410400390625,-1,NA
"R_2VQKP7SRoTLkXKy","Default Response Set","Anonymous",NA,NA,"128.104.131.0",0,"2015-11-10 13:02:29","2015-11-10 13:04:50",1,"LL-ELAINE","ODM319","modality",NA,"","look to one side, and answer based on that one side ","not much ",1,1,1,1,2,2,4,2,2,3,3,2,3,3,3,2,2,1,18,1,1,"None ",43.076095581055,-89.410400390625,-1,NA
"R_1DvRgePdKzc8Kbb","Default Response Set","Anonymous",NA,NA,"128.104.131.186",0,"2015-11-10 13:00:05","2015-11-10 13:04:49",1,"LL-Kramer","ODM317","modality",NA,"","I just looked on the box on the right side of the screen. If the photo was upright, I clicked ""J"", if it was upside down, I could assume the photo on the left was upright, and then I would proceed to click""F""","I didn't look away when the colors flashed, I just ignored them until the picture appeared",1,2,3,4,1,3,2,5,4,1,2,3,3,4,3,3,4,1,18,2,1,"",43.076095581055,-89.410400390625,-1,NA
"R_26o2XxG0BwvaFjc","Default Response Set","Anonymous",NA,NA,"128.104.131.70",0,"2015-11-10 13:37:12","2015-11-10 13:39:30",1,"LL-George","ODM321","modality",NA,"","focus on the pictures and block out all distractors","very little",1,2,1,2,3,2,1,2,1,3,3,3,2,1,2,2,2,1,18,1,1,"",43.076095581055,-89.410400390625,-1,NA
